Cluster ID,confidence_score,Username,Name,Location,User Desc
81,1,bps_statistics,Badan Pusat Statistik,"Jakarta,Indonesia","Akun resmi milik Badan Pusat Statistik.
Pelopor Data Statistik Tepercaya untuk Semua.

Kami ada untuk #MencatatIndonesia."
82,1,pulungarbi,Ayah Riffat & Bromo,Bandung,Ayah Riffat Ardiansyah & Arkana Bromo - Suka Lari Dimana saja - Suka Bilang Kalo Cinta Jangan Marah - Suka Kamu - Kontraktor Interior Furniture
83,1,FitRadioBandung,94.8 FM FIT Radio Bandung,Jl. Surya Sumantri No. 6c,"Healthy Life Style Radio
SMS & WhatsApp : 08112102948
Streaming : https://t.co/lCbdBJELpT
Member of @FitRadioNetwork 
Elshinta Media Group
#StayFitForLife"
84,1,RakyatMerdeka99,Rakyat Merdeka,"Graha Pena, Kebayoran Lama 12",Official Twitter of Rakyat Merdeka | The Political Newsleader | Web: https://t.co/9ixe3692h2| FB: Rakyat Merdeka | IG @rakyatmerdeka1999 | https://t.co/R8IYz8yNwb
85,1,Phixea29,Phixea Lee,AFF,YG Freaks - A beginner author @ AFF -  VIP - iKON - B.I's GF - CLassified - Infiknight
86,1,SecangkirTeh11,SecangkirTeh,,me its me
87,1,LukkunHakim,Lukman Hakim,,Human
88,1,DakwahIstiqoma1,Dakwah Istiqomah,,dakwah Istiqomah adalah akun resmi dari Chanel dakwah Istiqomah_official
89,1,tika_sudrajat,Tika P Dewi,,
90,1,amoysilitonga,Maria Silitonga,"Jakarta Capital Region, Indonesia",
91,1,NinjaCir3ng,Official : Kang Cir3ng®️ by N҉I҉N҉J҉A҉ K҉U҉R҉O҉,Close To U,"it's my way,ninja way,
moving in silence and hide in the crowd,
Real Acc,Real Reply,Real RT,Real Like,
No DM,No Porn,No Racist 
-Sid Vicious here-
PUNK NOT DEAD"
92,1,hbasuni,Hanafi,,
93,1,MSyam_ilwa,M.Syam Ilwa,Alaska,Jalan yang benar
94,1,Sugit38368578,Sugit Hutahayan,,"Nothing special about me,just an ordinary man & love my family so much especially my only one wife ❤❤"
95,1,IntanKarmila14,CintaNKRI #BravoTNI&POLRI#,,"Jaga NKRI, Pancasila dan Kebinekaan. I am a Moslem who really loves my country. I love peace and friendship."
96,1,triwul82,kiv z#FNI,lokalisasi kelas teri,"Ìs demum miser est, cuius nobilitas miserias nobiitat.

Lucius Accius, Telephus"
97,1,ariflukman2268,Masyumi ? ya PBB,"Jakarta, Indonesia",#PBBGaul
98,1,Fox_of_Phoenix,Bonifasius Fajar,"Malang, Jawa Timur","Indonesia itu beragam, bukan seragam"
99,1,hendratno64,Hendratno,Jalur KRL dan Bus.,"Penumpang KRL, Penumpang Bus, Pengukur Jalan."
100,1,ditjenpppl,Ditjen P2P,Jl. H.R. Rasuna Said Blok X-5 ,"Direktorat Jenderal Pencegahan dan Pengendalian Penyakit, Kementerian Kesehatan Republik Indonesia"
101,1,chef_agung,Agung Adrian,Bandung,♡ Allah SWT♡ | ♡ my family | ♡ Culinary | ♡ Cooking  | Economic | white jacket it's my life
